class,module,npm_install,jelly_exit,seconds,note
redos,codemirror_5.58.0,ok,0,0.39,
redos,colors-cli_1.0.25,ok,0,0.44,
redos,color-string_1.5.4,ok,0,0.45,
redos,content_3.0.5,ok,0,0.51,
redos,content-type-parser_1.0.1,ok,0,0.42,
redos,conventional-commits-parser_3.2.0,ok,0,2.92,
redos,d3-color_2.0.0,ok,0,0.46,
redos,date-and-time_0.14.1,ok,0,0.45,
redos,dirty-json_0.4.0,ok,0,0.64,
redos,ducktype_1.2.0,ok,0,0.45,
redos,email-existence_0.1.5,ok,0,0.40,
redos,ethers_5.2.0,ok,0,3.39,
redos,express-validators_1.0.3,ok,0,0.44,
redos,fast-csv_4.3.5,ok,0,0.77,
redos,forwarded_0.1.0,ok,0,0.39,
redos,fresh_0.5.0,ok,0,0.39,
redos,github-url-to-object_4.0.2,ok,0,0.41,
redos,glob-parent_5.0.0,ok,0,0.41,
redos,highlight.js_10.4.0,ok,0,0.53,
redos,hosted-git-info_3.0.0,ok,0,0.51,
redos,html-dom-parser_0.1.2,ok,0,0.55,
redos,htmlparser_1.7.7,ok,0,0.49,
redos,html-parse-stringify_2.0.0,ok,0,0.42,
redos,html-parse-stringify2_2.0.1,ok,0,0.42,
redos,is-email_1.0.0,ok,0,0.39,
redos,is-my-json-valid_2.20.1,ok,0,0.50,
redos,is-svg_4.2.2,ok,0,0.39,
redos,is-url_1.2.2,ok,0,0.39,
redos,jspdf_2.1.1,ok,134,62.87,non-zero exit (see log)
redos,locutus_2.0.10,ok,0,0.40,
redos,lodash_4.17.4,ok,0,2.08,
redos,markdown_0.3.0,ok,0,0.51,
redos,markdown-it_9.1.0,ok,0,0.78,
redos,markdown-to-jsx_5.4.2,ok,0,0.99,
redos,marked_0.3.6,ok,0,0.52,
redos,method-override_2.0.0,ok,0,0.41,
redos,millisecond_0.1.1,ok,0,0.40,
redos,mime_1.4.0,ok,0,0.41,
redos,minimatch_3.0.0,ok,0,0.50,
redos,mobile-detect_1.3.6,ok,0,0.45,
redos,moment_2.18.1,ok,0,0.75,
redos,ms_0.7.0,ok,0,0.40,
redos,natural_5.1.0,ok,0,0.40,
redos,no-case_2.3.1,ok,0,0.40,
redos,normalize-url_6.0.0,ok,0,0.42,
redos,npm-user-validate_1.0.0,ok,0,0.42,
redos,nth-check_2.0.0,ok,0,0.42,
